timestamp,temperature,gyro_x,gyro_y,gyro_z,rfid_tag_id,is_anomaly,anomaly_type
2025-01-01 08:00:45,23.65,0.003,-0.006,-0.008,NONE,0,Normal
2025-01-01 08:01:01,22.13,0.009,0.009,0.002,NONE,0,Normal
2025-01-01 08:01:34,23.91,-0.001,-0.008,0.006,NONE,0,Normal
2025-01-01 08:01:46,20.98,0.001,0.002,-0.009,RFID_UNKNOWN_A,1,Unauthorized RFID
2025-01-01 08:01:55,20.98,0.001,0.002,-0.009,NONE,0,Normal
2025-01-01 08:02:16,24.29,0.009,0.003,0.002,NONE,0,Normal
2025-01-01 08:02:22,21.77,-0.008,0.01,0.008,NONE,0,Normal
2025-01-01 08:03:02,20.24,-0.002,0.004,0.004,NONE,0,Normal
2025-01-01 08:03:35,20.81,-0.007,0.007,-0.006,NONE,0,Normal
2025-01-01 08:04:04,22.55,-0.004,-0.002,0.007,NONE,0,Normal
2025-01-01 08:05:04,22.38,-0.005,0.008,0.002,NONE,0,Normal
2025-01-01 08:05:16,20.67,0.005,-0.008,0.006,NONE,0,Normal
2025-01-01 08:05:28,23.15,-0.009,0.007,0.009,NONE,0,Normal
2025-01-01 08:06:23,22.17,0.134,0.395,0.461,NONE,1,Vault Movement (Minor)
2025-01-01 08:06:26,20.23,-0.006,0.008,-0.004,NONE,0,Normal
2025-01-01 08:06:49,22.17,-0.009,-0.004,-0.001,NONE,0,Normal
2025-01-01 08:07:18,24.14,-0.007,0.006,0.006,NONE,0,Normal
2025-01-01 08:08:18,23.48,-0.003,0.005,0.005,NONE,0,Normal
2025-01-01 08:09:16,21.97,-0.009,-0.004,-0.002,NONE,0,Normal
2025-01-01 08:10:05,23.77,-0.003,-0.01,-0.006,NONE,0,Normal
2025-01-01 08:10:51,23.36,-0.007,0.009,0.001,NONE,0,Normal
2025-01-01 08:11:37,20.55,-0.004,-0.007,0.008,NONE,0,Normal
2025-01-01 08:12:07,24.04,-0.003,-0.006,0.002,NONE,0,Normal
2025-01-01 08:12:20,20.66,-0.01,0.01,-0.002,NONE,0,Normal
2025-01-01 08:13:05,23.98,0.002,-0.001,-0.008,NONE,0,Normal
2025-01-01 08:13:21,20.69,-0.008,0.01,0.007,NONE,0,Normal
2025-01-01 08:13:37,23.27,0.003,-0.0,-0.001,NONE,0,Normal
2025-01-01 08:13:57,24.97,0.008,-0.0,0.0,NONE,0,Normal
2025-01-01 08:14:50,23.19,0.006,-0.003,-0.002,NONE,0,Normal
2025-01-01 08:15:05,23.19,0.006,-0.003,-0.002,NONE,1,RFID Jamming/No Read
2025-01-01 08:15:08,23.91,0.009,0.009,-0.009,NONE,0,Normal
2025-01-01 08:15:27,20.35,0.002,-0.005,-0.008,NONE,0,Normal
2025-01-01 08:15:33,24.33,-0.003,-0.006,-0.008,NONE,0,Normal
2025-01-01 08:16:13,23.77,0.0,-0.002,-0.006,NONE,0,Normal
2025-01-01 08:16:22,24.17,-0.007,0.005,-0.007,NONE,0,Normal
2025-01-01 08:17:09,24.49,0.001,-0.004,0.004,NONE,0,Normal
2025-01-01 08:17:52,21.12,0.004,0.01,0.002,NONE,0,Normal
2025-01-01 08:18:38,24.42,0.005,0.007,0.004,NONE,0,Normal
2025-01-01 08:18:46,21.71,-0.006,0.008,-0.002,NONE,0,Normal
2025-01-01 08:19:35,21.96,0.008,-0.005,0.009,NONE,0,Normal
2025-01-01 08:20:26,24.43,-0.005,0.008,0.008,NONE,0,Normal
2025-01-01 08:21:15,24.15,-0.005,-0.002,-0.009,NONE,0,Normal
2025-01-01 08:22:09,24.02,-0.007,0.001,-0.004,NONE,0,Normal
2025-01-01 08:22:59,23.7,0.004,-0.001,0.001,NONE,0,Normal
2025-01-01 08:23:08,22.59,0.003,0.008,0.008,NONE,0,Normal
2025-01-01 08:23:33,20.93,-0.001,0.003,0.001,NONE,0,Normal
2025-01-01 08:24:17,20.33,-0.003,0.008,0.009,NONE,0,Normal
2025-01-01 08:25:00,21.36,-0.0,-0.008,-0.008,NONE,0,Normal
2025-01-01 08:25:21,21.36,-0.0,-0.008,-0.008,RFID_UNKNOWN_A,1,RFID Spamming
2025-01-01 08:25:43,23.24,0.001,0.002,0.007,NONE,0,Normal
2025-01-01 08:26:37,20.89,0.004,-0.005,0.007,NONE,0,Normal
2025-01-01 08:27:20,22.54,-0.001,0.003,0.009,NONE,0,Normal
2025-01-01 08:27:52,20.99,0.004,0.002,0.0,NONE,0,Normal
2025-01-01 08:28:47,23.28,-0.006,-0.001,0.009,NONE,0,Normal
2025-01-01 08:29:12,-8.05,-0.007,-0.008,-0.008,NONE,1,Temperature Drop
2025-01-01 08:29:27,20.73,-0.007,-0.008,-0.008,NONE,0,Normal
2025-01-01 08:29:39,23.26,0.004,-0.0,0.008,NONE,0,Normal
2025-01-01 08:30:26,23.07,0.007,0.009,0.009,NONE,0,Normal
2025-01-01 08:31:05,23.05,-0.006,0.003,0.007,NONE,0,Normal
2025-01-01 08:31:28,20.47,-0.001,-0.002,-0.003,NONE,0,Normal
2025-01-01 08:32:00,22.57,0.005,0.005,-0.008,NONE,0,Normal
2025-01-01 08:32:51,20.58,-0.009,0.009,0.006,NONE,0,Normal
2025-01-01 08:33:30,23.27,-0.002,0.008,0.005,NONE,0,Normal
2025-01-01 08:33:47,21.94,0.0,0.009,0.006,NONE,0,Normal
2025-01-01 08:34:39,21.85,0.003,0.009,-0.006,NONE,0,Normal
2025-01-01 08:35:20,23.1,0.001,0.009,0.009,NONE,0,Normal
2025-01-01 08:36:09,22.46,-0.003,0.003,-0.002,NONE,0,Normal
2025-01-01 08:36:38,20.24,-0.007,-0.004,-0.007,NONE,0,Normal
2025-01-01 08:37:21,21.01,0.008,-0.008,0.002,NONE,0,Normal
2025-01-01 08:38:02,21.9,0.008,-0.0,0.008,NONE,0,Normal
2025-01-01 08:39:02,20.86,0.003,0.004,0.004,NONE,0,Normal
2025-01-01 08:39:07,22.95,0.0,0.01,-0.006,NONE,0,Normal
2025-01-01 08:39:15,21.01,0.004,0.008,-0.005,NONE,0,Normal
2025-01-01 08:39:44,24.67,0.355,-0.474,0.051,RFID_UNKNOWN_B,1,Vault Movement (Minor)
2025-01-01 08:39:50,24.67,0.005,0.005,0.003,NONE,0,Normal
2025-01-01 08:39:52,24.67,0.005,0.005,0.003,RFID_UNKNOWN_B,1,Unauthorized RFID
2025-01-01 08:40:47,22.4,0.009,-0.002,-0.005,NONE,0,Normal
2025-01-01 08:41:14,20.15,-0.01,-0.0,0.006,NONE,0,Normal
2025-01-01 08:42:04,20.91,0.008,-0.001,0.004,NONE,0,Normal
2025-01-01 08:42:23,23.07,0.003,0.008,-0.002,NONE,0,Normal
2025-01-01 08:43:21,20.36,-0.005,0.006,0.003,NONE,0,Normal
2025-01-01 08:43:48,22.41,0.008,-0.008,-0.0,NONE,0,Normal
2025-01-01 08:43:55,22.0,0.006,0.009,-0.009,NONE,0,Normal
2025-01-01 08:44:38,24.86,-0.004,0.002,0.001,NONE,0,Normal
2025-01-01 08:45:38,23.93,-0.01,0.008,0.007,NONE,0,Normal
2025-01-01 08:46:11,23.38,0.008,-0.007,-0.004,NONE,0,Normal
2025-01-01 08:47:00,23.49,0.004,0.002,-0.005,NONE,0,Normal
2025-01-01 08:47:31,20.63,0.002,-0.008,0.01,NONE,0,Normal
2025-01-01 08:47:41,24.76,-0.001,-0.009,-0.003,NONE,0,Normal
2025-01-01 08:48:23,21.11,0.001,0.005,0.004,NONE,0,Normal
2025-01-01 08:49:05,22.33,0.003,0.008,0.007,NONE,0,Normal
2025-01-01 08:49:36,21.49,-0.009,0.006,0.004,NONE,0,Normal
2025-01-01 08:49:46,21.2,-0.006,0.008,-0.004,NONE,0,Normal
2025-01-01 08:50:16,23.22,-0.001,-0.007,0.003,NONE,0,Normal
2025-01-01 08:51:15,21.77,-0.007,0.009,-0.004,NONE,0,Normal
2025-01-01 08:52:07,23.11,0.008,-0.006,0.007,NONE,0,Normal
2025-01-01 08:52:23,23.3,-0.006,0.005,-0.007,NONE,0,Normal
2025-01-01 08:53:11,24.75,-0.001,-0.005,0.006,NONE,0,Normal
2025-01-01 08:53:28,21.67,-0.004,0.0,-0.003,NONE,0,Normal
2025-01-01 08:53:35,86.79,-0.004,0.0,-0.003,NONE,1,Temperature Spike
2025-01-01 08:53:36,86.79,0.292,-0.305,-0.451,NONE,1,Vault Movement (Minor)
2025-01-01 08:53:54,23.81,0.008,0.004,-0.005,NONE,0,Normal
2025-01-01 08:54:09,20.71,-0.007,0.002,0.006,NONE,0,Normal
2025-01-01 08:55:03,22.78,-0.005,0.001,0.006,NONE,0,Normal
2025-01-01 08:55:34,24.1,-0.003,-0.004,0.005,NONE,0,Normal
2025-01-01 08:55:50,21.82,0.007,0.003,0.006,NONE,0,Normal
2025-01-01 08:56:46,24.76,-0.002,-0.006,0.01,NONE,0,Normal
2025-01-01 08:57:10,21.31,-0.004,0.008,-0.009,NONE,0,Normal
2025-01-01 08:57:27,21.59,0.009,-0.004,0.01,NONE,0,Normal
2025-01-01 08:58:07,24.67,0.005,-0.005,-0.007,NONE,0,Normal
2025-01-01 08:58:09,24.79,0.004,-0.001,-0.006,NONE,1,RFID Jamming/No Read
2025-01-01 08:58:16,24.79,0.004,-0.001,-0.006,NONE,0,Normal
2025-01-01 08:58:38,24.79,0.004,-0.001,-0.006,RFID_BLACKHAT_001,1,Unauthorized RFID
2025-01-01 08:59:04,20.31,-0.008,-0.002,0.003,NONE,0,Normal
2025-01-01 08:59:44,24.49,0.003,-0.006,0.004,NONE,0,Normal
2025-01-01 08:59:49,24.36,-0.004,0.002,-0.009,NONE,0,Normal
2025-01-01 09:00:07,23.45,-0.275,4.937,3.053,NONE,1,Vault Movement (Major)
2025-01-01 09:00:37,23.45,0.001,0.001,0.01,NONE,0,Normal
2025-01-01 09:00:58,22.93,-1.466,-3.914,-2.807,NONE,1,Vault Movement (Major)
2025-01-01 09:01:12,22.93,-0.005,0.004,0.009,NONE,0,Normal
2025-01-01 09:02:01,24.03,-0.001,0.009,-0.009,NONE,0,Normal
2025-01-01 09:02:53,20.46,0.006,0.002,-0.003,NONE,0,Normal
2025-01-01 09:03:26,23.75,0.001,0.004,0.004,NONE,0,Normal
